DTC,Description
B1884,HANDS FREE LIFTGATE KICK SENSOR
B1885,HANDS FREE LIFTGATE MODULE
B18E1,POWER LIFTGATE FRONT ZONE SWITCH
B1939,LEFT POWER SLIDING DOOR SWITCH
B193A,LEFT POWER SLIDING DOOR FRONT ZONE SWITCH
B193D,RIGHT POWER SLIDING DOOR SWITCH
B193E,RIGHT POWER SLIDING DOOR FRONT ZONE SWITCH
B1994,LEFT HANDS FREE SLIDING DOOR KICK SENSOR
B1995,LEFT HANDS FREE SLIDING DOOR MODULE
B1998,RIGHT HANDS FREE SLIDING DOOR KICK SENSOR
B1999,RIGHT HANDS FREE SLIDING DOOR MODULE
B1D4E,ADJUSTABLE PEDAL INHIBIT
B1D9C,STEERING COLUMN TILT SWITCH
B1E72,POWER INVERTER ENABLE CONTROL
B1EAD,LANE DEPARTURE WARNING SWITCH
B2101,IGNITION RUN/START INPUT LOW
B2103,IGNITION RUN/START 1 CONTROL
B210A,SYSTEM VOLTAGE LOW
B210B,SYSTEM VOLTAGE HIGH
B210C,BATTERY VOLTAGE INPUT
B210D,BATTERY VOLTAGE LOW
B210E,BATTERY VOLTAGE HIGH
B2111,5 VOLT SUPPLY
B2119,IGNITION RUN/ACC/SPAD CONTROL
B2121,IGNITION RUN CONTROL 1
B2128,SENSOR SUPPLY VOLTAGE
B212E,IGNITION RUN/ACC CONTROL
B2143,UGDO ENABLE CONTROL
B2183,IGNITION UNLOCK RUN START CONTROL
B2193,INTELLIGENT BATTERY SENSOR INTERNAL
B2199,BATTERY VOLTAGE
B21DD,SYSTEM VOLTAGE
B21F8,EXTERIOR LIGHTING POWER SUPPLY INPUT 1
B21F9,EXTERIOR LIGHTING POWER SUPPLY INPUT 2
B2204,ECU CONFIGURATION MISMATCH
B2206,CURRENT VIN MISSING/MISMATCH
B221D,RAIN SENSOR MODULE (RSM) INTERNAL
B2225,(SCM) STEERING COLUMN MODULE INTERNAL
B222A,VEHICLE LINE MISMATCH
B222C,VEHICLE CONFIGURATION NOT PROGRAMMED
B222F,FLASH WRITE PERFORMANCE
B2232,PTS PARKTRONICS INTERNAL
B2267,INTERIOR REAR VIEW MIRROR MODULE INTERNAL
B2298,RAIN SENSOR OVER TEMPERATURE
B2299,REAR CAMERA MODULE INTERNAL
B22A9,ECU INTERNAL PERFORMANCE
B2303,WIPER PARK SWITCH INPUT
B2306,FRONT WASHER SWITCH
B2312,WIPER ON/OFF CONTROL
B2313,WIPER SYSTEM PERFORMANCE
B2316,WIPER HIGH/LOW CONTROL
B231A,REAR WIPER MOTOR CONTROL
B2322,HEADLAMP WASHER MOTOR CONTROL
B232E,REAR WASHER SWITCH STUCK
B2335,HORN CONTROL
B233D,FRONT/REAR WASHER MOTOR (+) CONTROL
B2341,FRONT/REAR WASHER MOTOR (-) CONTROL
B23A1,FLASH TO PASS/OPTICAL HORN SWITCH
B23AA,IMPLAUSIBLE DATA RECEIVED FROM RAIN SENSOR
B259F,TRUNK/LIFTGATE LOCK CONTROL CIRCUIT
B25BC,LEFT FRONT DOOR AJAR SWITCH STUCK CLOSED
B25C7,DRIVER DOOR AJAR SWITCH 2 CIRCUIT LOW
B25C8,DRIVER DOOR AJAR SWITCH 2 CIRCUIT HIGH
B25C9,DRIVER DOOR AJAR SWITCH 2 STUCK CLOSED
B25CB,DRIVER DOOR AJAR SWITCH 1/DRIVER DOOR AJAR SWITCH 2 CORRELATION
C0001,TCS CONTROL CHANNEL A VALVE 1
C0002,TCS CONTROL CHANNEL A VALVE 2
C0003,TCS CONTROL CHANNEL B VALVE 1
C0004,TCS CONTROL CHANNEL B VALVE 2
C0010,LEFT FRONT INLET CONTROL
C0011,LEFT FRONT OUTLET CONTROL
C0014,RIGHT FRONT INLET CONTROL
C0015,RIGHT FRONT OUTLET CONTROL
C0018,LEFT REAR INLET CONTROL
C0019,LEFT REAR OUTLET CONTROL
C001C,RIGHT REAR INLET CONTROL
C001D,RIGHT REAR OUTLET CONTROL
C0021,BRAKE BOOSTER
C0031,LEFT FRONT WHEEL SPEED SENSOR
C0034,RIGHT FRONT WHEEL SPEED SENSOR
C0037,LEFT REAR WHEEL SPEED SENSOR
C003A,RIGHT REAR WHEEL SPEED SENSOR
C0042,BRAKE PEDAL POSITION SENSOR
C0044,BRAKE PRESSURE SENSOR 1
C0051,STEERING WHEEL POSITION SENSOR
C0061,LATERAL ACCELERATION SENSOR
C0062,LONGITUDINAL ACCELERATION SENSOR
C0063,YAW RATE SENSOR
C006A,MULTI AXIS ACCELERATION SENSOR
C0075,BRAKE PEDAL POSITION PERFORMANCE
C0078,TIRE DIAMETER
C008E,ECU INTERNAL PERFORMANCE
C008F,CALIBRATION NOT LEARNED
C0500,LEFT FRONT WHEEL SPEED SENSOR CIRCUIT/OPEN
C0501,LEFT FRONT WHEEL SPEED SENSOR RANGE/PERFORMANCE
C0502,LEFT FRONT WHEEL SPEED SENSOR CIRCUIT LOW
C0503,LEFT FRONT WHEEL SPEED SENSOR CIRCUIT HIGH
C0504,LEFT FRONT WHEEL SPEED SENSOR INTERMITTENT/ERRATIC
C0506,RIGHT FRONT WHEEL SPEED SENSOR CIRCUIT/OPEN
C0507,RIGHT FRONT WHEEL SPEED SENSOR RANGE/PERFORMANCE
C0508,RIGHT FRONT WHEEL SPEED SENSOR CIRCUIT LOW
C0509,RIGHT FRONT WHEEL SPEED SENSOR CIRCUIT HIGH
C050A,RIGHT FRONT WHEEL SPEED SENSOR INTERMITTENT/ERRATIC
C050C,LEFT REAR WHEEL SPEED SENSOR CIRCUIT/OPEN
C050D,LEFT REAR WHEEL SPEED SENSOR RANGE/PERFORMANCE
C050E,LEFT REAR WHEEL SPEED SENSOR CIRCUIT LOW
C050F,LEFT REAR WHEEL SPEED SENSOR CIRCUIT HIGH
C0510,LEFT REAR WHEEL SPEED SENSOR INTERMITTENT/ERRATIC
C0512,RIGHT REAR WHEEL SPEED SENSOR CIRCUIT/OPEN
C0513,RIGHT REAR WHEEL SPEED SENSOR RANGE/PERFORMANCE
C0514,RIGHT REAR WHEEL SPEED SENSOR CIRCUIT LOW
C0515,RIGHT REAR WHEEL SPEED SENSOR CIRCUIT HIGH
C0516,RIGHT REAR WHEEL SPEED SENSOR INTERMITTENT/ERRATIC
C051A,LEFT REAR WHEEL SPEED SENSOR MECHANICAL
C051B,RIGHT REAR WHEEL SPEED SENSOR MECHANICAL
C052B,ABS PUMP MOTOR CONTROL PERFORMANCE
C052D,ABS PUMP MOTOR CONTROL CIRCUIT HIGH
C053D,BRAKE PRESSURE SENSOR 1 PERFORMANCE
C0541,"BRAKE PRESSURE SENSOR ""B"" RANGE/PERFORMANCE"
C0555,LEFT FRONT WHEEL SPEED SENSOR INCORRECT COMPONENT INSTALLED
C0556,RIGHT FRONT WHEEL SPEED SENSOR INCORRECT COMPONENT INSTALLED
C0557,LEFT REAR WHEEL SPEED SENSOR INCORRECT COMPONENT INSTALLED
C0558,RIGHT REAR WHEEL SPEED SENSOR INCORRECT COMPONENT INSTALLED
C055B,"ABS PUMP MOTOR SUPPLY VOLTAGE CIRCUIT ""A"" LOW"
C055F,ABS HYDRAULIC UNIT PERFORMANCE
C0579,BRAKE BOOSTER TEMPERATURE SENSOR B CIRCUIT LOW
C057A,BRAKE BOOSTER TEMPERATURE SENSOR B CIRCUIT HIGH
C0580,BRAKE BOOSTER MOTOR A PHASE U-V-W CIRCUIT LOW
C0581,BRAKE BOOSTER MOTOR A PHASE U-V-W CIRCUIT HIGH
C0582,BRAKE BOOSTER MOTOR A PHASE U-V-W CIRCUIT RANGE PERFORMANCE
C058A,BRAKE BOOSTER MOTOR A POSITION SENSOR CIRCUIT RANGE PERFORMANCE
C0590,BRAKE BOOSTER MOTOR A PHASE U-V-W CIRCUIT HIGH
C0591,BRAKE BOOSTER MOTOR A PHASE U-V-W CIRCUIT LOW
C0594,BRAKE BOOSTER MOTOR A PERFORMANCE
C0595,BRAKE BOOSTER INTERNAL POWER DRIVER RANGE PERFORMANCE
C0596,BRAKE BOOSTER MOTOR A CURRENT SENSOR CIRCUIT RANGE PERFORMANCE
C05A3,WHEEL SPEED SENSORS SUPPLY CIRCUIT HIGH
C05A4,WHEEL SPEED SENSORS SUPPLY CIRCUIT LOW
C05AE,ABS PUMP MOTOR CALIBRATION NOT LEARNED
C0609,PARK BRAKE SWITCH CIRCUIT
C060A,PARK BRAKE SWITCH STUCK
C060B,LEFT PARK BRAKE ACTUATOR CONTROL CIRCUIT/OPEN
C060C,LEFT PARK BRAKE ACTUATOR CONTROL CIRCUIT LOW
C060D,LEFT PARK BRAKE ACTUATOR CONTROL CIRCUIT HIGH
C060E,LEFT PARK BRAKE ACTUATOR PERFORMANCE/STUCK OFF
C060F,LEFT PARK BRAKE ACTUATOR STUCK ON
C0610,RIGHT PARK BRAKE ACTUATOR CONTROL CIRCUIT/OPEN
C0611,RIGHT PARK BRAKE ACTUATOR CONTROL CIRCUIT LOW
C0612,RIGHT PARK BRAKE ACTUATOR CONTROL CIRCUIT HIGH
C0613,RIGHT PARK BRAKE ACTUATOR PERFORMANCE/STUCK OFF
C0614,RIGHT PARK BRAKE ACTUATOR STUCK ON
C1006,BRAKE FLUID LEVEL INPUT
C107B,WHEEL SPEED COMPARATIVE PERFORMANCE
C1086,ABS SYSTEM CONTROL TOO LONG
C1093,FRONT BRAKE PRESSURE SENSOR
C1098,REAR BRAKE PRESSURE SENSOR CIRCUIT PERFORMANCE
C10CD,ELECTRONIC PARK BRAKE SWITCH
C10D0,ELECTRONIC PARK BRAKE MODULE
C10EA,LEFT PARK BRAKE ACTUATOR
C10EB,RIGHT PARK BRAKE ACTUATOR
C10ED,ELECTRONIC PARK BRAKE SWITCH LED
C10F3,MAINTENANCE MODE ACTIVE
C121C,TORQUE REQUEST SIGNAL DENIED
C1223,BRAKE PEDAL TRAVEL SENSOR SUPPLY
C1227,BRAKE PEDAL TRAVEL SENSOR CIRCUIT PERFORMANCE
C1228,BRAKE PEDAL TRAVEL SENSOR CIRCUIT LOW
C1229,BRAKE PEDAL TRAVEL SENSOR CIRCUIT HIGH
C1239,EMISSIONS ROLLS TEST ACTIVE
C123B,ESP SYSTEM CONTROL TOO LONG
C1240,STEERING ANGLE SENSOR ANGLE OVERTRAVEL PERFORMANCE
C124A,ACC TORQUE REQUEST SIGNAL DENIED
C124E,HILL START ASSIST DISABLED CONDITIONS NOT CORRECT
C124F,ESP REQUEST DENIED FROM ACC
C1260,ABS/ESC DYNAMIC CONTROLS DISABLED
C1261,ABS EVENT
C1262,ESP EVENT
C1263,TSC EVENT
C1264,HBA EVENT
C1265,PRESAFE EVENT
C127A,ESP DID NOT RESPOND TO DECELERATION REQUEST
C127F,CMS EVENT
C14A3,XBW RULE VIOLATION
C14A4,SENSOR ADJUSTMENT REQUIRED
C14A5,SENSOR BLINDED
C14A6,VEHICLE REACTION
C15C1,EPS MECHANICAL PERFORMANCE
C15D8,MISMATCH TIRE SIZE
C15DB,EPS DISABLED
C15DC,FORWARD COLLISION WARNING CONTROL SWITCH
C15E9,DYNAMIC STEERING TORQUE REQUEST DENIED
C2100,BATTERY VOLTAGE LOW
C2101,BATTERY VOLTAGE HIGH
C2102,SYSTEM VOLTAGE LOW
C2103,SYSTEM VOLTAGE HIGH
C2104,ABS/ESC VALVE SUPPLY VOLTAGE
C2105,ABS VALVE SUPPLY VOLTAGE CIRCUIT LOW
C2106,ABS VALVE SUPPLY VOLTAGE CIRCUIT HIGH
C211B,IGNITION RUN/START INPUT
C2129,BATTERY VOLTAGE
C212A,SYSTEM VOLTAGE
C2200,ANTI LOCK BRAKE MODULE INTERNAL
C2202,ORIGINAL VIN MISMATCH/MISSING
C2205,STEERING ANGLE SENSOR INTERNAL
C2206,VEHICLE CONFIGURATION MISMATCH
C2210,ECU OVERTEMPERATURE
C2212,ECU IN PLANT MODE
C2217,ELECTRIC POWER STEERING MODULE INTERNAL
C2219,ECU UNABLE TO CONFIGURE/CONFIGURATION NOT LEARNED
C2222,IMPROPER POWERDOWN
C2223,ECU CONFIGURATION MISMATCH
C2225,PCM DISABLED ECU
C2227,ABS DISABLED ECU
C2318,FRONT CAMERA
P000A,BANK 1 CAMSHAFT 1 POSITION SLOW RESPONSE
P000B,BANK 1 CAMSHAFT 2 POSITION SLOW RESPONSE
P000C,BANK 2 CAMSHAFT 1 POSITION SLOW RESPONSE
P000D,BANK 2 CAMSHAFT 2 POSITION SLOW RESPONSE
P0010,BANK 1 CAMSHAFT 1 POSITION ACTUATOR CIRCUIT OPEN
P0013,BANK 1 CAMSHAFT 2 POSITION ACTUATOR CIRCUIT OPEN
P0016,CRANKSHAFT/CAMSHAFT TIMING MISALIGNMENT BANK 1 SENSOR 1
P0017,CRANKSHAFT/CAMSHAFT TIMING MISALIGNMENT BANK 1 SENSOR 2
P0018,CRANKSHAFT POSITION CAMSHAFT POSITION CORRELATION BANK 2 SENSOR 1
P0019,CRANKSHAFT POSITION CAMSHAFT POSITION CORRELATION BANK 2 SENSOR 2
P0020,BANK 2 CAMSHAFT 1 POSITION ACTUATOR CIRCUIT OPEN
P0023,BANK 2 CAMSHAFT 2 POSITION ACTUATOR CIRCUIT OPEN
P0031,O2 SENSOR 1/1 HEATER CIRCUIT LOW
P0032,O2 SENSOR 1/1 HEATER CIRCUIT HIGH
P0037,O2 SENSOR 1/2 HEATER CIRCUIT LOW
P0038,O2 SENSOR 1/2 HEATER CIRCUIT HIGH
P0051,O2 SENSOR 2/1 HEATER CIRCUIT LOW
P0052,O2 SENSOR 2/1 HEATER CIRCUIT HIGH
P0057,O2 SENSOR 2/2 HEATER CIRCUIT LOW
P0058,O2 SENSOR 2/2 HEATER CIRCUIT HIGH
P0070,AMBIENT AIR TEMPERATURE SENSOR CIRCUIT
P0071,AMBIENT AIR TEMPERATURE SENSOR PERFORMANCE
P0072,AMBIENT AIR TEMPERATURE SENSOR CIRCUIT LOW
P0073,AMBIENT AIR TEMPERATURE SENSOR CIRCUIT HIGH
P0107,MANIFOLD ABSOLUTE PRESSURE SENSOR CIRCUIT LOW
P0108,MANIFOLD ABSOLUTE PRESSURE SENSOR CIRCUIT HIGH
P0111,INTAKE AIR TEMPERATURE SENSOR 1 PERFORMANCE
P0112,INTAKE AIR TEMPERATURE SENSOR 1 CIRCUIT LOW
P0113,INTAKE AIR TEMPERATURE SENSOR 1 CIRCUIT HIGH
P0116,ENGINE COOLANT TEMPERATURE SENSOR PERFORMANCE
P0117,ENGINE COOLANT TEMPERATURE SENSOR CIRCUIT LOW
P0118,ENGINE COOLANT TEMPERATURE SENSOR 1 CIRCUIT HIGH
P0121,THROTTLE POSITION SENSOR 1 PERFORMANCE
P0122,THROTTLE POSITION SENSOR 1 CIRCUIT LOW
P0123,THROTTLE POSITION SENSOR 1 CIRCUIT HIGH
P0125,INSUFFICIENT COOLANT TEMP FOR CLOSED LOOP FUEL CONTROL
P0128,THERMOSTAT RATIONALITY
P0129,BAROMETRIC PRESSURE OUT OF RANGE LOW
P0131,O2 SENSOR 1/1 CIRCUIT LOW
P0132,O2 SENSOR 1/1 CIRCUIT HIGH
P0133,O2 SENSOR 1/1 SLOW RESPONSE
P0135,O2 SENSOR 1/1 HEATER PERFORMANCE
P0137,O2 SENSOR 1/2 CIRCUIT LOW
P0138,O2 SENSOR 1/2 CIRCUIT HIGH
P0139,O2 SENSOR 1/2 SLOW RESPONSE
P0140,O2 SENSOR 1/2 NO ACTIVITY DETECTED
P0141,O2 SENSOR 1/2 HEATER PERFORMANCE
P0151,O2 SENSOR 2/1 CIRCUIT LOW
P0152,O2 SENSOR 2/1 CIRCUIT HIGH
P0153,O2 SENSOR 2/1 SLOW RESPONSE
P0155,O2 SENSOR 2/1 HEATER PERFORMANCE
P0157,O2 SENSOR 2/2 CIRCUIT LOW
P0158,O2 SENSOR 2/2 CIRCUIT HIGH
P0159,O2 SENSOR 2/2 SLOW RESPONSE
P0160,O2 SENSOR 2/2 NO ACTIVITY DETECTED
P0161,O2 SENSOR 2/2 HEATER PERFORMANCE
P0171,FUEL SYSTEM 1/1 LEAN
P0172,FUEL SYSTEM 1/1 RICH
P0174,FUEL SYSTEM 2/1 LEAN
P0175,FUEL SYSTEM 2/1 RICH
P018B,FUEL PRESSURE SENSOR CIRCUIT PERFORMANCE
P018C,FUEL PRESSURE SENSOR CIRCUIT LOW
P018D,FUEL PRESSURE SENSOR CIRCUIT HIGH
P0196,ENGINE OIL TEMPERATURE SENSOR CIRCUIT PERFORMANCE
P0197,ENGINE OIL TEMPERATURE SENSOR CIRCUIT LOW
P0198,ENGINE OIL TEMPERATURE SENSOR CIRCUIT HIGH
P0201,FUEL INJECTOR 1 CIRCUIT
P0202,FUEL INJECTOR 2 CIRCUIT
P0203,FUEL INJECTOR 3 CIRCUIT
P0204,FUEL INJECTOR 4 CIRCUIT
P0205,FUEL INJECTOR 5 CIRCUIT
P0206,FUEL INJECTOR 6 CIRCUIT
P0221,THROTTLE POSITION SENSOR 2 PERFORMANCE
P0222,THROTTLE POSITION SENSOR 2 CIRCUIT LOW
P0223,THROTTLE POSITION SENSOR 2 CIRCUIT HIGH
P025A,FUEL PUMP MODULE CONTROL CIRCUIT OPEN
P025B,FUEL PUMP MODULE CONTROL CIRCUIT PERFORMANCE
P025C,FUEL PUMP MODULE CONTROL CIRCUIT LOW
P025D,FUEL PUMP MODULE CONTROL CIRCUIT HIGH
P0298,ENGINE OIL TEMPERATURE TOO HIGH
P0300,MULTIPLE CYLINDER MISFIRE
P0301,CYLINDER 1 MISFIRE
P0302,CYLINDER 2 MISFIRE
P0303,CYLINDER 3 MISFIRE
P0304,CYLINDER 4 MISFIRE
P0305,CYLINDER 5 MISFIRE
P0306,CYLINDER 6 MISFIRE
P0315,NO CRANK SENSOR LEARNED
P0325,KNOCK SENSOR 1 CIRCUIT
P0330,KNOCK SENSOR 2 CIRCUIT
P0335,CRANKSHAFT POSITION SENSOR CIRCUIT
P0339,CRANKSHAFT POSITION SENSOR INTERMITTENT
P0340,CAMSHAFT POSITION SENSOR CIRCUIT BANK 1 SENSOR 1
P0344,CAMSHAFT POSITION SENSOR INTERMITTENT BANK 1 SENSOR 1
P0345,CAMSHAFT POSITION SENSOR CIRCUIT BANK 2 SENSOR 1
P0349,CAMSHAFT POSITION SENSOR INTERMITTENT BANK 2 SENSOR 1
P0365,CAMSHAFT POSITION SENSOR CIRCUIT BANK 1 SENSOR 2
P0369,CAMSHAFT POSITION SENSOR INTERMITTENT BANK 1 SENSOR 2
P0390,CAMSHAFT POSITION SENSOR CIRCUIT BANK 2 SENSOR 2
P0394,CAMSHAFT POSITION SENSOR INTERMITTENT BANK 2 SENSOR 2
P0420,CATALYST SYSTEM EFFICIENCY BELOW THRESHOLD BANK 1
P0430,CATALYST SYSTEM EFFICIENCY BELOW THRESHOLD BANK 2
P043E,EVAP SYSTEM LEAK DETECTION REFERENCE ORIFICE LOW FLOW
P043F,EVAP SYSTEM LEAK DETECTION REFERENCE ORIFICE HIGH FLOW
P0441,EVAP PURGE SYSTEM PERFORMANCE
P0443,EVAP PURGE SOLENOID CIRCUIT
P0454,"EVAP SYSTEM PRESSURE SENSOR/SWITCH ""A"" INTERMITTENT"
P0460,FUEL LEVEL SENSOR 1
P0461,FUEL LEVEL SENSOR 1 PERFORMANCE
P0462,FUEL LEVEL SENSOR 1 CIRCUIT LOW
P0463,FUEL LEVEL SENSOR 1 CIRCUIT HIGH
P04B5,FUEL FILL DOOR STUCK OPEN
P04B6,FUEL FILL DOOR STUCK CLOSED
P04BF,FUEL FILL DOOR UNLOCK CONTROL CIRCUIT OPEN
P04C0,FUEL FILL DOOR UNLOCK CONTROL PERFORMANCE
P04C1,FUEL FILL DOOR UNLOCK CONTROL CIRCUIT LOW
P04C2,FUEL FILL DOOR UNLOCK CONTROL CIRCUIT HIGH
P04C8,FUEL FILL DOOR OPEN REQUEST SENSOR/SWITCH CIRCUIT
P04CA,FUEL FILL DOOR OPEN REQUEST SENSOR/SWITCH CIRCUIT LOW
P04CB,FUEL FILL DOOR OPEN REQUEST SENSOR/SWITCH CIRCUIT HIGH
P04CC,FUEL FILL DOOR OPEN REQUEST SENSOR/SWITCH CIRCUIT INTERMITTENT/ERRATIC
P04CD,FUEL FILL DOOR OPEN REQUEST SENSOR/SWITCH STUCK ON
P04DF,"EVAP SYSTEM PURGE CONTROL VALVE ""A"" PERFORMANCE/STUCK OPEN"
P04EC,EVAP SYSTEM LARGE LEAK DETECTED FUEL TANK SIDE
P04ED,EVAP SYSTEM LARGE LEAK DETECTED FRESH AIR SIDE
P04EE,EVAP SYSTEM VERY SMALL LEAK DETECTED FUEL TANK SIDE
P04EF,EVAP SYSTEM VERY SMALL LEAK DETECTED FRESH AIR SIDE
P0503,VEHICLE SPEED SENSOR 1 ERRATIC
P0506,IDLE SPEED PERFORMANCE LOWER THAN EXPECTED
P0507,IDLE SPEED PERFORMANCE HIGHER THAN EXPECTED
P050A,HCP WARM UP CATALYST EFFICIENCY BELOW THRESHOLD BANK 1
P050B,COLD START IGNITION TIMING PERFORMANCE
P0513,INVALID SKIM KEY
P0520,ENGINE OIL PRESSURE SENSOR CIRCUIT
P0521,ENGINE OIL PRESSURE SENSOR PERFORMANCE
P0522,ENGINE OIL PRESSURE SENSOR CIRCUIT LOW
P0523,ENGINE OIL PRESSURE SENSOR CIRCUIT HIGH
P052B,INTAKE CAM BANK 1 COLD START POSITION TIMING OVER RETARDED
P052D,INTAKE CAM BANK 2 COLD START POSITION TIMING OVER RETARDED
P054A,COLD START EXHAUST CAMSHAFT POSITION TIMING OVER ADVANCED
P054C,COLD START EXHAUST CAMSHAFT POSITION TIMING OVER ADVANCED
P0562,BATTERY/SYSTEM VOLTAGE LOW
P0563,BATTERY/SYSTEM VOLTAGE HIGH
P057E,BRAKE PEDAL POSITION SENSOR CIRCUIT INTERMITTENT ERRATIC
P0585,SPEED CONTROL SWITCH 1/2 CORRELATION
P058C,BATTERY MONITOR MODULE TEMPERATURE MONITORING PERFORMANCE
P05A4,ACTIVE GRILLE AIR SHUTTER 1 CONTROL CIRCUIT HIGH
P05A5,ACTIVE GRILLE AIR SHUTTER 1 CONTROL CIRCUIT LOW
P05DC,BRAKE PEDAL POSITION SENSOR B CIRCUIT RANGE PERFORMANCE
P05DD,BRAKE PEDAL POSITION SENSOR B CIRCUIT LOW
P05DE,BRAKE PEDAL POSITION SENSOR B CIRCUIT HIGH
P05DF,BRAKE PEDAL POSITION SENSOR B CIRCUIT INTERMITTENT ERRATIC
P05E0,BRAKE PEDAL POSITION SENSOR AB CORRELATION
P05FF,BRAKE PRESSURE SENSOR / BRAKE PEDAL POSITION SENSOR CORRELATION
P0600,SERIAL COMMUNICATION LINK
P0601,INTERNAL MEMORY CHECKSUM INVALID
P0602,CONTROL MODULE PROGRAMMING ERROR/NOT PROGRAMMED
P0603,INTERNAL CONTROL MODULE KEEP ALIVE MEMORY KAM ERROR
